,Title,Company,Description,URL
0,Machine Learning Engineer (MLE) - Data Solutions Center,BYTEDANCE PTE. LTD.,"Responsibilities Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content. Why Join Us At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance. About the team The success of data business model hinges on the supply of a large volume of high quality labeled data that will grow exponentially as our business scales up. However, the current cost of data labeling is excessively high. The Data Solutions team is built to understand data strategically at scale for all Global Business Solution (GBS) business needs. Data Solutions Team uses quantitative and qualitative data to guide and uncover insights, turning our findings into real products to power exponential growth. Data Solutions Team responsibility includes infrastructure construction, recognition capabilities management, global labeling delivery management. About the role We are looking for a highly capable machine learning engineer to deploy and optimise our machine learning systems. You will be evaluating existing machine learning (ML) lifecycle, understanding and productionizing the model data pipeline, and enhancing and maintaining the performance of our AI model's predictive automation capabilities. Responsibilities What you will do Model optimisation: Collaborate with data scientists to improve existing machine learning model training and evaluation pipelines, updating/finetuning the models with different training resources such as GPU or distributed training Model Deployment: Build continuous integration, testing, and scalable deployment pipelines in cloud computing environments for machine learning services Data pipeline productionisation: Work with data scientists and data engineers to design and implement the data pipelines for machine learning models that will support the current and future needs of our business Maintenance: Build scalable and reliable infrastructure that supports feature engineering, model training, deployment, inferencing, performance monitoring Tracking: Build logging, tracking, analyzing, monitoring and reporting pipelines for both data and model tracking in cloud computing environments to ensure correct model output and stable model performance What you will need Ability to understand the business use case to optimise and implement scalable solution Knowledge of machine learning concepts and fundamentals Deep learning proficiency in at least one of CV and NLP, with solid experience in model finetuning and optimization Solid programming skills with experience writing and maintaining high-quality production code Experience in ML pipeline, model training orchestration; large-scale/distributed training experience is desirable Ability to work independently and complete projects from beginning to end and in a timely manner Great communication skills, both written and oral; comfortable presenting findings and recommendations to non-technical audiences Qualifications BS or above in Computer Science, Software Engineering, or a related field 5+ years of industry experience building ML infrastructure at scale At least 2 years of experience in developing and deploying large-scale systems, version control, scaling and monitoring Experience in machine learning frameworks (scikit-learn, Tensorflow, Pytorch), big data frameworks (e.g., Spark/Hadoop/Flink) and experience in resource management and task scheduling for large scale distributed systems. Proficient in Python/SQL and one of C/C++/Go, with deep knowledge of Linux and CD tools (e.g. git); Experience with any microservice framework is highly desirable Knowledge of machine learning concepts and fundamentals Good communication and teamwork skills to clearly communicate technical concepts with other teammates. ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-mle-data-solutions-center-10523515?jobId=jobstreet-sg-job-10523515&sectionRank=1&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
1,Machine Learning Engineer #Urgent,TikTok,"Responsibilities Build industry leading recommendation system, develop highly scalable classifiers and tools leveraging machine learning Understand product objectives and machine learning techniques, improve model and recommendation strategy Understand user behavior and apply Machine Learning algorithms to optimize push notification and production experience Work with TikTok cross functional teams to grow TikTok in important regional markets Qualifications Bachelor's degree (or more) in computer science or a related technical discipline Solid experience with data structures or algorithms Software development experience through hands on coding in a general-purpose programming language Experience in one or more of the following areas: machine learning, recommendation systems, data mining or other related areas Strong communication and teamwork skills Passion about technologies and solving challenging problems",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-urgent-10523071?jobId=jobstreet-sg-job-10523071&sectionRank=2&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
2,"Machine Learning Engineer, TikTok Search #WorkNow",TikTok,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Search Team, you’ll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving. Responsibilities Optimize the searching quality to provide TikTok's users the best search experience Combine your understanding of product objectives and take full advantage of modern machine learning, NLP and Multimodal techniques to improve the search ranking algorithms, including query understanding, video understanding and various levels of result ranking. Qualifications Bachelor degree or above in the field of computer science or a related technical discipline Proficient coding skills and strong algorithm &amp; data structure using C++/Python/Java Experience in one or more of the following areas: NLP, Ranking, Ads, Search engine, Recommender System, and Machine Learning Effective communication and teamwork skills.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-tiktok-search-worknow-10525897?jobId=jobstreet-sg-job-10525897&sectionRank=3&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
3,Machine Learning Engineer - AI Lab - (220001BJ),OCBC Bank (Singapore),"OVERALL ROLE PURPOSE: Working within OCBC AI Lab, our Center of Excellence for Data Science and Artificial Intelligence, you will be part of our new ML Engineering and Operations practice. You will be part of our MLOps ecosystem and design our future MLOps strategy to improve the scalability and maintainability of our models and deployments. RESPONSIBILITIES: Build scalable MLE platforms such as Pipelines, Feature Store, and Enterprise Customer Graph to accelerate the organization’s AI capabilities Work closely with data scientists in deploying and maintaining models in production. Explore new emerging open-source technologies and how they could benefit our platforms and processes. *LI - Kit Qualifications REQUIREMENTS: Degree in Computer Science, Computer Engineering, or a similar computing intensive subject. Relevant work experience in Machine Learning Engineering, Backend Engineering, and/or DevOps Hands-On experience with Hadoop-based engines, such as Hive, Impala. Experience with distributed computing framework such as Spark, Dask, Ray. Strong programming skills in Python and another object-oriented language (e.g. Scala, C++). Clear communicator, with the ability to articulate ideas with data. Experience with operating in a corporate environment and stakeholder management. Strong results driven personality with an innovative spirit. GOOD TO HAVE: Strong Experience working with scalable distributed container platforms particularly Kubernetes or OpenShift. Experience working with real-time processing framework, such as Kafka and Flink.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-ai-lab-220001bj-10532607?jobId=jobstreet-sg-job-10532607&sectionRank=4&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
4,"Machine Learning Engineer, Risk Data Mining - Singapore #Urgent",TikTok,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok. The Business Risk Integrated Control (BRIC) team is missioned to : Protect ByteDance users, including and beyond content consumers, creators, advertisers; Secure platform health and community experience authenticity; Build infrastructures, platforms and technologies, as well as to collaborate with many cross-functional teams and stakeholders. The BRIC team works to minimize the damage of inauthentic behaviors on ByteDance platforms (e.g. TikTok, CapCut, Resso, Lark), covering multiple classical and novel community and business risk areas such as account integrity, engagement authenticity, anti spam, API abuse, growth fraud, live streaming security and financial safety (ads or e-commerce), etc. In this team you'll have a unique opportunity to have first-hand exposure to the strategy of the company in key security initiatives, especially in building scalable and robust, intelligent and privacy-safe, secure and product-friendly systems and solutions. Our challenges are not some regular day-to-day technical puzzles -- You'll be part of a team that's developing novel solutions to first-seen challenges of a non-stop evolvement of a phenomenal product eco-system. The work needs to be fast, transferrable, while still down to the ground to making quick and solid differences. Responsibilities Build machine learning solutions to respond to and mitigate business risks in ByteDance products/platforms. Such risks include and are not limited to abusive accounts, fake engagements, spammy redirection, scraping, fraud, etc. Improve modeling infrastructures, labels, features and algorithms towards robustness, automation and generalization, reduce modeling and operational load on risk adversaries and new product/risk ramping-ups. Uplevel risk machine learning excellence on privacy/compliance, interpretability, risk perception and analysis. Qualifications Master or above degree in computer science, statistics, or other relevant, machine-learning-heavy majors. Solid engineering skills. Proficiency in at least two of: Linux, Hadoop, Hive, Spark, Storm. Strong machine learning background. Proficiency or publications in modern machine learning theories and applications such as deep neural nets, transfer/multi-task learning, reinforcement learning, time series or graph unsupervised learning. Ability to think critically, objectively, rationally. Reason and communicate in result-oriented, data-driven manner. High autonomy. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-risk-data-mining-singapore-urgent-10525280?jobId=jobstreet-sg-job-10525280&sectionRank=5&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
5,"AVP/Senior Associate, - Machine Learning Engineer, COO-office, Institutional Banking Group - (WD38720)",DBS Bank Limited,"Business Function The Institutional Banking Group’s (IBG) Data Centre of Excellence (DCOE) is committed to building a data-driven organisation and maximising the key data capabilities to transform how IBG does business. Data impacts IBG’s business every day, and a culture of relentlessly using data and business intelligence will enable IBG achieve exponential growth. Job Purpose The Machine Learning Engineer will apply data analytics (including descriptive and prescriptive analytics), machine learning and software engineering skills in various data science projects, with ownership of over the entire data analytics life cycle. Responsibilities Discuss with business stakeholders to understand the business problems. Propose, prove, and own suitable analytics solutions. Develop and execute on project plans, including schedules, specifications, risks, and contingency plans. Apply cutting edge technologies and tools in big data to build and manage data pipelines. Develop and implement machine learning algorithms and build production-grade end-to-end analytics solutions together with cross-functional teams including business, data science, technology, and production teams. Monitor model performance and maintain the analytics models and pipelines. Requirements: Bachelor’s or master’s degree in Computer Science, Business Analytics, or related fields. 3-8 years of experience in software application development involving high volume of data, and in leveraging advanced analytics and machine learning to achieve business impact. Excellent programming skills in Python, SQL, shell script. Familiar with software development and productivity tools such as VS Code, PyCharm, Jupyter, Jira, Git, Confluence. Strong in problem-solving, being resourceful with end-to-end critical thinking to find out solutions even in unfamiliar scenarios. Team player with good communication and project management skills.",https://www.jobstreet.com.sg/en/job/avp-senior-associate-machine-learning-engineer-coo-office-institutional-banking-group-wd38720-10528744?jobId=jobstreet-sg-job-10528744&sectionRank=6&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
6,Machine Learning Engineer (Recommendation) - TikTok e-Commerce #UrgentHire,TikTok,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok. About the team! Our team works on large-scale recommendation systems for various offerings under TikTok and its affiliates, focusing on developing recommendation algorithms/models/strategies. We are committed to developing cutting-edge solutions for e-commerce recommendation systems. Responsibilities: Work on recommendation systems, involving contents of various forms ranging from products, short videos to live streams, with each unified recommendation model fulfilling heterogeneous E-commerce scenarios/goals across multiple countries. Optimize e-commerce recommendation models at massive scales, using deep learning/transfer learning/multi-task learning techniques. Data mining and analysis to improve the quality of recommended contents. Conduct research on various topics, which aim to optimize content recommendation circulation, ranging from ensuring diversity and new discovery in recommendation contents, to cold-start problem for new users/items and discovery of high-quality products/live streamers. Develop innovative and state-of-the-art e-commerce models and algorithms Qualifications: At least 3 years of work experience in related field Strong in data structures and algorithms, with excellent problem-solving ability and programming skills Experience in applied machine learning, familiar with one or more of the algorithms such as Collaborative Filtering, Matrix Factorization, Factorization Machines, Word2vec, Logistic Regression, Gradient Boosting Trees, Deep Neural Networks etc. Experience in working with main components of recommendation systems(recall, sort, reranking, cold-start problem), with good understanding of mainstream recommendation models used in the industry Experience in C++ and Python; at least one of the Big Data tools (For eg. Hive sql/Spark/Mapreduce; at least one of the Deep Learning tools(For eg. Tensorflow/Pytorch) Possess strong communication skills, positive mindset, good teamwork skills, and eagerness to learn/implement new technology and experiment Preferred Qualifications: Experience in personalized recommendation, online advertising, information retrieval or related fields. Publications at KDD、NeurIPS、WWW、SIGIR、WSDM、CIKM、ICLR、ICML、IJCAI、AAAI、RecSys and related conferences Excellent performance in data mining, machine learning, or ACM-ICPC/NOI/IOI competitions Developed widely-recognized machine learning project(s) on github or personal webpage TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-recommendation-tiktok-e-commerce-urgenthire-10525405?jobId=jobstreet-sg-job-10525405&sectionRank=7&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
7,Machine Learning Engineer - TikTok Search #Urgent,TikTok,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Search Team, you’ll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving. Responsibilities • Optimize the searching quality to provide TikTok's users the best search experience • Combine your understanding of product objectives and take full advantage of modern machine learning, NLP and Multimodal techniques to improve the search ranking algorithms, including query understanding, video understanding and various levels of result ranking. Qualifications Bachelor degree or above in the field of computer science or a related technical discipline Must have relevant experience in search / recommendation Proficient coding skills and strong algorithm &amp; data structure using C++/Python/Java Experience in one or more of the following areas: NLP, Ranking, Ads, Search engine, Recommender System, and Machine Learning Effective communication and teamwork skills.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-tiktok-search-urgent-10521312?jobId=jobstreet-sg-job-10521312&sectionRank=8&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
8,"Machine Learning Engineer, TikTok Search #UrgentHire",TikTok,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Search Team, you’ll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving. Responsibilities Optimize the searching quality to provide TikTok's users the best search experience Combine your understanding of product objectives and take full advantage of modern machine learning, NLP and Multimodal techniques to improve the search ranking algorithms, including query understanding, video understanding and various levels of result ranking. Qualifications Bachelor degree or above in the field of computer science or a related technical discipline Proficient coding skills and strong algorithm &amp; data structure using C++/Python/Java Experience in one or more of the following areas: NLP, Ranking, Ads, Search engine, Recommender System, and Machine Learning Effective communication and teamwork skills.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-tiktok-search-urgenthire-10524161?jobId=jobstreet-sg-job-10524161&sectionRank=9&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
9,"Machine Learning Engineer, TikTok Search -- #UrgentHire #JobsThatMatter",TikTok,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Search Team, you’ll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving. Responsibilities Optimize the searching quality to provide TikTok's users the best search experience Combine your understanding of product objectives and take full advantage of modern machine learning, NLP and Multimodal techniques to improve the search ranking algorithms, including query understanding, video understanding and various levels of result ranking. Qualifications Bachelor degree or above in the field of computer science or a related technical discipline Proficient coding skills and strong algorithm &amp; data structure using C++/Python/Java Experience in one or more of the following areas: NLP, Ranking, Ads, Search engine, Recommender System, and Machine Learning Effective communication and teamwork skills.",https://www.jobstreet.com.sg/en/job/machine-learning-engineer-tiktok-search-urgenthire-jobsthatmatter-10523497?jobId=jobstreet-sg-job-10523497&sectionRank=10&token=0~d6196f84-e3c3-4ed9-9418-574593b9c55a&fr=SRP%20Job%20Listing
